,date,open,close,high,low,volume,code
0,2013-01-04,2551.81,2524.41,2558.53,2498.89,97988182.0,hs300
1,2013-01-07,2518.05,2535.99,2545.97,2511.6,75167993.0,hs300
2,2013-01-08,2534.65,2525.33,2540.51,2502.49,71837100.0,hs300
3,2013-01-09,2518.1,2526.13,2534.24,2504.3,70231170.0,hs300
4,2013-01-10,2525.59,2530.57,2553.35,2513.73,71085862.0,hs300
5,2013-01-11,2533.5,2483.23,2539.79,2473.7,74239176.0,hs300
6,2013-01-14,2474.18,2577.73,2583.62,2474.0,93554091.0,hs300
7,2013-01-15,2579.13,2595.86,2605.41,2576.92,98620805.0,hs300
8,2013-01-16,2591.36,2577.09,2600.09,2540.52,93536084.0,hs300
9,2013-01-17,2570.71,2552.76,2575.06,2539.67,69915239.0,hs300
10,2013-01-18,2568.69,2595.44,2607.45,2553.45,77940303.0,hs300
11,2013-01-21,2605.65,2610.9,2611.2,2582.65,84133742.0,hs300
12,2013-01-22,2610.39,2596.9,2620.02,2578.18,105766275.0,hs300
13,2013-01-23,2588.2,2607.46,2611.41,2576.36,75739444.0,hs300
14,2013-01-24,2606.43,2582.75,2663.4,2564.21,111277172.0,hs300
15,2013-01-25,2580.88,2571.67,2591.51,2567.11,58487359.0,hs300
16,2013-01-28,2577.27,2651.86,2651.97,2577.27,91274790.0,hs300
17,2013-01-29,2655.38,2675.87,2685.53,2646.15,101040229.0,hs300
18,2013-01-30,2678.43,2688.71,2689.68,2662.06,99874990.0,hs300
19,2013-01-31,2690.95,2686.88,2696.88,2671.33,96740101.0,hs300
20,2013-02-01,2677.19,2743.32,2744.32,2671.27,103879515.0,hs300
21,2013-02-04,2753.69,2748.03,2768.5,2731.08,127939179.0,hs300
22,2013-02-05,2727.93,2771.68,2779.95,2725.36,116130819.0,hs300
23,2013-02-06,2771.91,2775.84,2787.46,2765.74,82779271.0,hs300
24,2013-02-07,2771.53,2759.87,2775.97,2722.87,89978142.0,hs300
25,2013-02-08,2755.65,2771.73,2791.3,2747.95,77429644.0,hs300
26,2013-02-18,2784.06,2737.47,2787.74,2731.51,76438227.0,hs300
27,2013-02-19,2735.04,2685.61,2740.74,2674.34,80626431.0,hs300
28,2013-02-20,2686.09,2702.64,2703.1,2665.23,70019377.0,hs300
29,2013-02-21,2675.74,2610.55,2675.74,2584.76,100657984.0,hs300
30,2013-02-22,2607.65,2596.6,2618.48,2591.15,60204852.0,hs300
31,2013-02-25,2607.15,2604.96,2628.7,2590.79,53161942.0,hs300
32,2013-02-26,2587.38,2567.59,2631.09,2564.67,80003065.0,hs300
33,2013-02-27,2576.05,2594.68,2615.25,2569.38,63226743.0,hs300
