,date,close
96,2013-06-03,15.505
97,2013-06-04,14.88
98,2013-06-05,15.043
99,2013-06-06,14.668
100,2013-06-07,14.245
101,2013-06-13,14.158
102,2013-06-14,14.332
103,2013-06-17,13.899
104,2013-06-18,13.966
105,2013-06-19,14.726
106,2013-06-20,14.37
107,2013-06-21,14.649
108,2013-06-24,13.851
109,2013-06-25,14.037
110,2013-06-26,13.86
111,2013-06-27,13.211
112,2013-06-28,13.28
113,2013-07-01,12.907
114,2013-07-02,13.437
115,2013-07-03,13.103
116,2013-07-04,13.319
117,2013-07-05,13.369
118,2013-07-08,12.936
119,2013-07-09,12.612
120,2013-07-10,13.015
121,2013-07-11,13.654
122,2013-07-12,13.172
123,2013-07-15,13.28
124,2013-07-16,13.487
125,2013-07-17,13.133
126,2013-07-18,12.877
127,2013-07-19,12.533
128,2013-07-22,12.494
129,2013-07-23,12.759
130,2013-07-24,12.631
131,2013-07-25,12.907
132,2013-07-26,12.582
133,2013-07-29,12.317
134,2013-07-30,12.336
135,2013-07-31,12.179
136,2013-08-01,12.376
137,2013-08-02,12.395
138,2013-08-05,12.504
139,2013-08-06,12.69
140,2013-08-07,12.641
141,2013-08-08,12.533
142,2013-08-09,12.563
143,2013-08-12,13.142
144,2013-08-13,13.231
145,2013-08-14,13.113
146,2013-08-15,13.251
147,2013-08-16,13.133
148,2013-08-19,13.074
149,2013-08-20,12.916
150,2013-08-21,13.192
151,2013-08-22,13.123
152,2013-08-23,12.857
153,2013-08-26,13.054
154,2013-08-27,13.211
155,2013-08-28,12.985
156,2013-08-29,13.142
157,2013-08-30,12.513
158,2013-09-02,12.042
159,2013-09-03,12.277
160,2013-09-04,12.209
161,2013-09-05,12.218
162,2013-09-06,12.179
163,2013-09-09,12.327
164,2013-09-10,12.376
165,2013-09-11,12.563
166,2013-09-12,12.494
167,2013-09-13,12.72
168,2013-09-16,12.425
169,2013-09-17,11.865
170,2013-09-18,11.619
171,2013-09-23,11.697
172,2013-09-24,11.57
173,2013-09-25,11.216
174,2013-09-26,11.098
175,2013-09-27,10.891
176,2013-09-30,10.832
177,2013-10-08,10.773
178,2013-10-09,10.882
179,2013-10-10,10.675
180,2013-10-11,10.734
181,2013-10-14,11.127
182,2013-10-15,11.078
183,2013-10-16,10.901
184,2013-10-17,10.941
185,2013-10-18,10.803
186,2013-10-21,10.862
187,2013-10-22,10.95
188,2013-10-23,10.813
189,2013-10-24,10.587
190,2013-10-25,10.115
191,2013-10-28,9.427
192,2013-10-29,9.26
193,2013-10-30,9.289
194,2013-10-31,9.555
195,2013-11-01,9.338
196,2013-11-04,9.378
197,2013-11-05,9.358
198,2013-11-06,9.446
199,2013-11-07,9.358
200,2013-11-08,9.152
201,2013-11-11,9.584
202,2013-11-12,10.429
203,2013-11-13,10.616
204,2013-11-14,10.557
205,2013-11-15,10.547
206,2013-11-18,10.675
207,2013-11-19,10.793
208,2013-11-20,10.695
209,2013-11-21,10.37
210,2013-11-22,10.223
211,2013-11-25,10.321
212,2013-11-26,10.243
213,2013-11-27,10.361
214,2013-11-28,10.508
215,2013-11-29,10.37
216,2013-12-02,9.673
217,2013-12-03,10.046
218,2013-12-04,10.174
219,2013-12-05,10.144
220,2013-12-06,10.547
221,2013-12-09,10.872
222,2013-12-10,10.715
223,2013-12-11,10.901
224,2013-12-12,10.764
225,2013-12-13,10.656
226,2013-12-16,10.194
227,2013-12-17,10.253
228,2013-12-18,10.046
229,2013-12-19,10.115
230,2013-12-20,9.889
231,2013-12-23,9.682
232,2013-12-24,9.702
233,2013-12-25,9.732
234,2013-12-26,9.387
235,2013-12-27,9.535
236,2013-12-30,9.574
237,2013-12-31,9.967
238,2014-01-02,9.761
239,2014-01-03,9.564
240,2014-01-06,9.22
241,2014-01-07,9.309
242,2014-01-08,9.181
243,2014-01-09,9.181
244,2014-01-10,9.132
245,2014-01-13,9.348
246,2014-01-14,9.456
247,2014-01-15,9.211
248,2014-01-16,9.289
249,2014-01-17,9.043
250,2014-01-20,8.955
251,2014-01-21,8.994
252,2014-01-22,9.181
253,2014-01-23,9.063
254,2014-01-24,9.093
255,2014-01-27,9.132
256,2014-01-28,9.014
257,2014-01-29,8.758
258,2014-01-30,8.06
259,2014-02-07,8.1
260,2014-02-10,8.228
261,2014-02-11,8.346
262,2014-02-12,8.385
263,2014-02-13,8.316
264,2014-02-14,8.552
265,2014-02-17,8.906
266,2014-02-18,8.66
267,2014-02-19,8.729
268,2014-02-20,8.454
269,2014-02-21,8.296
270,2014-02-24,8.178
271,2014-02-25,7.933
272,2014-02-26,7.952
273,2014-02-27,7.864
274,2014-02-28,7.933
275,2014-03-03,7.943
276,2014-03-04,7.893
277,2014-03-05,8.149
278,2014-03-06,7.982
279,2014-03-07,8.07
280,2014-03-10,7.805
281,2014-03-11,7.982
282,2014-03-12,7.913
283,2014-03-13,8.709
284,2014-03-14,8.729
285,2014-03-17,8.758
286,2014-03-18,8.621
287,2014-03-19,8.473
288,2014-03-20,8.09
289,2014-03-21,8.306
290,2014-03-24,8.424
291,2014-03-25,8.178
292,2014-03-26,8.218
293,2014-03-27,8.07
294,2014-03-28,7.815
295,2014-03-31,7.825
296,2014-04-01,7.962
297,2014-04-02,8.011
298,2014-04-03,7.943
299,2014-04-04,7.962
300,2014-04-08,8.06
301,2014-04-09,8.159
302,2014-04-10,8.119
303,2014-04-11,8.198
304,2014-04-14,8.228
305,2014-04-15,8.11
306,2014-04-16,8.1
307,2014-04-17,8.1
308,2014-04-18,8.1
309,2014-04-21,7.834
310,2014-04-22,7.874
311,2014-04-23,7.943
312,2014-04-24,7.795
313,2014-04-25,7.549
314,2014-04-28,7.294
315,2014-04-29,7.343
316,2014-04-30,7.382
317,2014-05-05,7.422
318,2014-05-06,7.402
319,2014-05-07,7.312
320,2014-05-08,7.292
321,2014-05-09,7.292
322,2014-05-12,7.62
323,2014-05-13,7.71
324,2014-05-14,7.561
325,2014-05-15,7.392
326,2014-05-16,7.422
327,2014-05-19,7.312
328,2014-05-20,7.282
329,2014-05-21,7.382
330,2014-05-22,7.282
331,2014-05-23,7.342
332,2014-05-26,7.372
333,2014-05-27,7.312
334,2014-05-28,7.422
335,2014-05-29,7.312
336,2014-05-30,7.292
337,2014-06-03,7.302
338,2014-06-04,7.173
339,2014-06-05,7.233
340,2014-06-06,7.193
341,2014-06-09,7.133
342,2014-06-10,7.203
343,2014-06-11,7.223
344,2014-06-12,7.203
345,2014-06-13,7.233
346,2014-06-16,7.253
347,2014-06-17,7.133
348,2014-06-18,6.974
349,2014-06-19,6.746
350,2014-06-20,6.766
351,2014-06-23,6.756
352,2014-06-24,7.034
353,2014-06-25,6.875
354,2014-06-26,6.885
355,2014-06-27,6.925
356,2014-06-30,6.965
357,2014-07-01,7.024
358,2014-07-02,7.143
359,2014-07-03,7.133
360,2014-07-04,7.034
361,2014-07-07,6.974
362,2014-07-08,6.965
363,2014-07-09,6.925
364,2014-07-10,6.925
365,2014-07-11,6.965
366,2014-07-14,7.183
367,2014-07-15,7.898
368,2014-07-16,7.63
369,2014-07-17,7.481
370,2014-07-18,7.72
371,2014-07-21,7.66
372,2014-07-22,7.61
373,2014-07-23,7.561
374,2014-07-24,7.581
375,2014-07-25,7.779
376,2014-07-28,7.889
377,2014-07-29,7.879
378,2014-07-30,7.898
379,2014-07-31,8.206
380,2014-08-01,7.988
381,2014-08-04,8.127
382,2014-08-05,8.157
383,2014-08-06,8.077
384,2014-08-07,8.038
385,2014-08-08,7.988
386,2014-08-11,8.117
387,2014-08-12,8.206
388,2014-08-13,8.574
389,2014-08-14,8.634
390,2014-08-15,8.624
391,2014-08-18,8.793
392,2014-08-19,8.882
393,2014-08-20,9.071
394,2014-08-21,8.872
395,2014-08-22,8.962
396,2014-08-25,8.773
397,2014-08-26,8.624
398,2014-08-27,8.832
399,2014-08-28,9.031
400,2014-08-29,9.488
401,2014-09-19,9.23
402,2014-09-22,8.753
403,2014-09-23,8.663
404,2014-09-24,8.812
405,2014-09-25,8.644
406,2014-09-26,8.733
407,2014-09-29,8.793
408,2014-09-30,8.783
409,2014-10-08,8.872
410,2014-10-09,9.18
411,2014-10-10,9.051
412,2014-10-13,8.872
413,2014-10-14,8.812
414,2014-10-15,8.862
415,2014-10-16,8.683
416,2014-10-17,8.574
417,2014-10-20,8.654
418,2014-10-21,8.514
419,2014-10-22,8.316
420,2014-10-23,8.117
421,2014-10-24,8.137
422,2014-10-27,8.236
423,2014-10-28,8.415
424,2014-10-29,8.455
425,2014-10-30,8.465
426,2014-10-31,8.872
427,2014-11-03,8.991
428,2014-11-04,8.862
429,2014-11-05,8.902
430,2014-11-06,8.892
431,2014-11-07,8.654
432,2014-11-10,9.21
433,2014-11-11,9.17
434,2014-11-12,9.22
435,2014-11-13,9.14
436,2014-11-14,9.299
437,2014-11-17,9.091
438,2014-11-18,8.922
439,2014-11-19,8.932
440,2014-11-20,8.832
441,2014-11-21,8.952
442,2014-11-24,9.071
443,2014-11-25,9.2
444,2014-11-26,9.677
445,2014-11-27,9.707
446,2014-11-28,9.548
447,2014-12-01,10.501
448,2014-12-02,10.839
449,2014-12-03,11.098
450,2014-12-04,11.326
451,2014-12-05,10.869
452,2014-12-08,11.018
453,2014-12-09,10.432
454,2014-12-10,10.69
455,2014-12-11,10.859
456,2014-12-12,11.227
457,2014-12-15,11.515
458,2014-12-16,11.326
459,2014-12-17,10.939
460,2014-12-18,10.829
461,2014-12-19,11.078
462,2014-12-22,10.929
463,2014-12-23,11.366
464,2014-12-24,11.654
465,2014-12-25,11.743
466,2014-12-26,11.684
467,2014-12-29,12.151
468,2014-12-30,11.714
469,2014-12-31,11.594
